	Posteriors	FDR
1507	0.0	0.0
1482	0.0	0.0
6318	0.0	0.0
6320	0.0	0.0
1433	0.0	0.0
6338	0.0	0.0
6337	0.0	0.0
6336	0.0	0.0
1440	0.0	0.0
1445	0.0	0.0
1448	0.0	0.0
1449	0.0	0.0
6330	0.0	0.0
1454	0.0	0.0
1455	0.0	0.0
6329	0.0	0.0
1459	0.0	0.0
1462	0.0	0.0
1463	0.0	0.0
1467	0.0	0.0
1470	0.0	0.0
6323	0.0	0.0
1475	0.0	0.0
1519	0.0	0.0
1828	0.0	0.0
1520	0.0	0.0
1523	0.0	0.0
6273	0.0	0.0
1567	0.0	0.0
1569	0.0	0.0
1571	0.0	0.0
1572	0.0	0.0
6266	0.0	0.0
1584	0.0	0.0
1586	0.0	0.0
1565	0.0	0.0
6260	0.0	0.0
1593	0.0	0.0
1595	0.0	0.0
1597	0.0	0.0
1599	0.0	0.0
6254	0.0	0.0
6253	0.0	0.0
6250	0.0	0.0
1611	0.0	0.0
6257	0.0	0.0
6275	0.0	0.0
6276	0.0	0.0
1561	0.0	0.0
6298	0.0	0.0
1527	0.0	0.0
6297	0.0	0.0
1531	0.0	0.0
6293	0.0	0.0
6292	0.0	0.0
1534	0.0	0.0
1537	0.0	0.0
1543	0.0	0.0
1546	0.0	0.0
1547	0.0	0.0
1548	0.0	0.0
1549	0.0	0.0
1550	0.0	0.0
6284	0.0	0.0
1554	0.0	0.0
1556	0.0	0.0
1558	0.0	0.0
1559	0.0	0.0
1522	0.0	0.0
5941	0.0	0.0
1832	0.0	0.0
1837	0.0	0.0
6008	0.0	0.0
2088	0.0	0.0
2090	0.0	0.0
2096	0.0	0.0
6004	0.0	0.0
2099	0.0	0.0
2100	0.0	0.0
6003	0.0	0.0
6009	0.0	0.0
2102	0.0	0.0
2105	0.0	0.0
6002	0.0	0.0
2107	0.0	0.0
2110	0.0	0.0
2114	0.0	0.0
2115	0.0	0.0
2121	0.0	0.0
2123	0.0	0.0
2104	0.0	0.0
5996	0.0	0.0
2084	0.0	0.0
2082	0.0	0.0
2052	0.0	0.0
2053	0.0	0.0
2054	0.0	0.0
6019	0.0	0.0
6018	0.0	0.0
2060	0.0	0.0
2062	0.0	0.0
2064	0.0	0.0
2083	0.0	0.0
6013	0.0	0.0
2070	0.0	0.0
2071	0.0	0.0
2072	0.0	0.0
6011	0.0	0.0
2075	0.0	0.0
2079	0.0	0.0
2080	0.0	0.0
2081	0.0	0.0
6012	0.0	0.0
2127	0.0	0.0
5989	0.0	0.0
2130	0.0	0.0
2180	0.0	0.0
5973	0.0	0.0
2182	0.0	0.0
5971	0.0	0.0
2188	0.0	0.0
5969	0.0	0.0
5964	0.0	0.0
5963	0.0	0.0
2179	0.0	0.0
2199	0.0	0.0
2202	0.0	0.0
2203	0.0	0.0
2204	0.0	0.0
5958	0.0	0.0
2208	0.0	0.0
5956	0.0	0.0
5954	0.0	0.0
2221	0.0	0.0
2201	0.0	0.0
2177	0.0	0.0
2175	0.0	0.0
2174	0.0	0.0
2132	0.0	0.0
2133	0.0	0.0
2134	0.0	0.0
5986	0.0	0.0
2140	0.0	0.0
2142	0.0	0.0
2144	0.0	0.0
2145	0.0	0.0
2146	0.0	0.0
2147	0.0	0.0
2155	0.0	0.0
2160	0.0	0.0
2162	0.0	0.0
5981	0.0	0.0
5980	0.0	0.0
2169	0.0	0.0
2170	0.0	0.0
5977	0.0	0.0
2173	0.0	0.0
6020	0.0	0.0
2048	0.0	0.0
2047	0.0	0.0
6022	0.0	0.0
1889	0.0	0.0
1892	0.0	0.0
6076	0.0	0.0
6075	0.0	0.0
1902	0.0	0.0
1904	0.0	0.0
1905	0.0	0.0
1910	0.0	0.0
6082	0.0	0.0
1911	0.0	0.0
6068	0.0	0.0
1916	0.0	0.0
1918	0.0	0.0
6067	0.0	0.0
6066	0.0	0.0
6065	0.0	0.0
1927	0.0	0.0
1928	0.0	0.0
6069	0.0	0.0
1887	0.0	0.0
1885	0.0	0.0
1883	0.0	0.0
6119	0.0	0.0
1842	0.0	0.0
6116	0.0	0.0
1846	0.0	0.0
1849	0.0	0.0
6112	0.0	0.0
6111	0.0	0.0
6108	0.0	0.0
6107	0.0	0.0
1858	0.0	0.0
1864	0.0	0.0
1866	0.0	0.0
1870	0.0	0.0
6095	0.0	0.0
1873	0.0	0.0
6094	0.0	0.0
6093	0.0	0.0
6092	0.0	0.0
6090	0.0	0.0
1932	0.0	0.0
1836	0.0	0.0
1936	0.0	0.0
1938	0.0	0.0
2000	0.0	0.0
6036	0.0	0.0
2003	0.0	0.0
6035	0.0	0.0
2005	0.0	0.0
2010	0.0	0.0
2011	0.0	0.0
2012	0.0	0.0
1998	0.0	0.0
2013	0.0	0.0
6031	0.0	0.0
6029	0.0	0.0
2022	0.0	0.0
2025	0.0	0.0
6027	0.0	0.0
2040	0.0	0.0
2042	0.0	0.0
2043	0.0	0.0
6032	0.0	0.0
1997	0.0	0.0
1995	0.0	0.0
6042	0.0	0.0
1941	0.0	0.0
1942	0.0	0.0
1950	0.0	0.0
6053	0.0	0.0
1957	0.0	0.0
1960	0.0	0.0
1966	0.0	0.0
1970	0.0	0.0
1971	0.0	0.0
6049	0.0	0.0
1974	0.0	0.0
1978	0.0	0.0
1979	0.0	0.0
1980	0.0	0.0
6047	0.0	0.0
1985	0.0	0.0
1988	0.0	0.0
1990	0.0	0.0
6043	0.0	0.0
1937	0.0	0.0
1432	0.0	0.0
3070	0.0	0.0
3073	0.0	0.0
5059	0.0	0.0
5056	0.0	0.0
5053	0.0	0.0
4216	0.0	0.0
4217	0.0	0.0
5052	0.0	0.0
4222	0.0	0.0
4224	0.0	0.0
5060	0.0	0.0
5049	0.0	0.0
4239	0.0	0.0
4240	0.0	0.0
4241	0.0	0.0
4243	0.0	0.0
4245	0.0	0.0
4246	0.0	0.0
5044	0.0	0.0
5043	0.0	0.0
4236	0.0	0.0
4259	0.0	0.0
4208	0.0	0.0
5061	0.0	0.0
5075	0.0	0.0
4161	0.0	0.0
4162	0.0	0.0
5073	0.0	0.0
4168	0.0	0.0
5072	0.0	0.0
5071	0.0	0.0
5070	0.0	0.0
4207	0.0	0.0
4182	0.0	0.0
4188	0.0	0.0
4190	0.0	0.0
4191	0.0	0.0
5068	0.0	0.0
4195	0.0	0.0
4196	0.0	0.0
4203	0.0	0.0
5062	0.0	0.0
4183	0.0	0.0
5041	0.0	0.0
4266	0.0	0.0
4267	0.0	0.0
4326	0.0	0.0
5016	0.0	0.0
4328	0.0	0.0
4329	0.0	0.0
5012	0.0	0.0
4332	0.0	0.0
4336	0.0	0.0
5007	0.0	0.0
4322	0.0	0.0
4340	0.0	0.0
5004	0.0	0.0
4346	0.0	0.0
5003	0.0	0.0
4353	0.0	0.0
4354	0.0	0.0
4358	0.0	0.0
4359	0.0	0.0
4995	0.0	0.0
5006	0.0	0.0
4320	0.0	0.0
5021	0.0	0.0
5023	0.0	0.0
4268	0.0	0.0
5038	0.0	0.0
4275	0.0	0.0
4278	0.0	0.0
4280	0.0	0.0
5032	0.0	0.0
5031	0.0	0.0
4287	0.0	0.0
4289	0.0	0.0
4292	0.0	0.0
4297	0.0	0.0
4298	0.0	0.0
4299	0.0	0.0
4300	0.0	0.0
5026	0.0	0.0
4303	0.0	0.0
4305	0.0	0.0
4307	0.0	0.0
4308	0.0	0.0
5076	0.0	0.0
4155	0.0	0.0
4153	0.0	0.0
4151	0.0	0.0
5156	0.0	0.0
5155	0.0	0.0
3991	0.0	0.0
5146	0.0	0.0
3994	0.0	0.0
3997	0.0	0.0
3999	0.0	0.0
4001	0.0	0.0
5158	0.0	0.0
4003	0.0	0.0
4005	0.0	0.0
4007	0.0	0.0
4008	0.0	0.0
5144	0.0	0.0
4015	0.0	0.0
5140	0.0	0.0
5139	0.0	0.0
4029	0.0	0.0
4004	0.0	0.0
5159	0.0	0.0
3975	0.0	0.0
3973	0.0	0.0
3913	0.0	0.0
5187	0.0	0.0
3918	0.0	0.0
5186	0.0	0.0
3920	0.0	0.0
5184	0.0	0.0
3922	0.0	0.0
3930	0.0	0.0
3932	0.0	0.0
5177	0.0	0.0
5176	0.0	0.0
3945	0.0	0.0
3947	0.0	0.0
5174	0.0	0.0
5173	0.0	0.0
3951	0.0	0.0
5169	0.0	0.0
5168	0.0	0.0
3964	0.0	0.0
5134	0.0	0.0
4368	0.0	0.0
4031	0.0	0.0
5133	0.0	0.0
4095	0.0	0.0
5104	0.0	0.0
4098	0.0	0.0
5103	0.0	0.0
4102	0.0	0.0
5099	0.0	0.0
5098	0.0	0.0
4107	0.0	0.0
5105	0.0	0.0
4113	0.0	0.0
4117	0.0	0.0
4134	0.0	0.0
4136	0.0	0.0
4142	0.0	0.0
4145	0.0	0.0
4147	0.0	0.0
5077	0.0	0.0
4149	0.0	0.0
4114	0.0	0.0
4088	0.0	0.0
4086	0.0	0.0
4085	0.0	0.0
4036	0.0	0.0
4037	0.0	0.0
4041	0.0	0.0
4042	0.0	0.0
5128	0.0	0.0
4044	0.0	0.0
4046	0.0	0.0
4048	0.0	0.0
4052	0.0	0.0
4058	0.0	0.0
5121	0.0	0.0
4072	0.0	0.0
4073	0.0	0.0
4075	0.0	0.0
4077	0.0	0.0
4079	0.0	0.0
4080	0.0	0.0
4082	0.0	0.0
4084	0.0	0.0
4034	0.0	0.0
3912	0.0	0.0
4369	0.0	0.0
4991	0.0	0.0
4646	0.0	0.0
4649	0.0	0.0
4877	0.0	0.0
4655	0.0	0.0
4876	0.0	0.0
4665	0.0	0.0
4874	0.0	0.0
4669	0.0	0.0
4878	0.0	0.0
4673	0.0	0.0
4873	0.0	0.0
4679	0.0	0.0
4680	0.0	0.0
4681	0.0	0.0
4871	0.0	0.0
4870	0.0	0.0
4688	0.0	0.0
4860	0.0	0.0
4674	0.0	0.0
4697	0.0	0.0
4879	0.0	0.0
4634	0.0	0.0
4598	0.0	0.0
4601	0.0	0.0
4891	0.0	0.0
4607	0.0	0.0
4608	0.0	0.0
4612	0.0	0.0
4615	0.0	0.0
4616	0.0	0.0
4639	0.0	0.0
4887	0.0	0.0
4886	0.0	0.0
4885	0.0	0.0
4622	0.0	0.0
4627	0.0	0.0
4629	0.0	0.0
4631	0.0	0.0
4632	0.0	0.0
4633	0.0	0.0
4618	0.0	0.0
4854	0.0	0.0
4699	0.0	0.0
4700	0.0	0.0
4759	0.0	0.0
4762	0.0	0.0
4771	0.0	0.0
4773	0.0	0.0
4824	0.0	0.0
4823	0.0	0.0
4822	0.0	0.0
4780	0.0	0.0
4827	0.0	0.0
4781	0.0	0.0
4785	0.0	0.0
4818	0.0	0.0
4811	0.0	0.0
4792	0.0	0.0
4794	0.0	0.0
4795	0.0	0.0
4810	0.0	0.0
4808	0.0	0.0
4819	0.0	0.0
4751	0.0	0.0
4750	0.0	0.0
4833	0.0	0.0
4703	0.0	0.0
4853	0.0	0.0
4705	0.0	0.0
4850	0.0	0.0
4717	0.0	0.0
4848	0.0	0.0
4847	0.0	0.0
4721	0.0	0.0
4845	0.0	0.0
4843	0.0	0.0
4726	0.0	0.0
4728	0.0	0.0
