	Posteriors	FDR
1813	0.0	0.0
5813	0.0	0.0
3733	0.0	0.0
4677	0.0	0.0
5811	0.0	0.0
1819	0.0	0.0
5810	0.0	0.0
5817	0.0	0.0
5809	0.0	0.0
4665	0.0	0.0
5829	0.0	0.0
5848	0.0	0.0
1772	0.0	0.0
1774	0.0	0.0
1775	0.0	0.0
1776	0.0	0.0
5843	0.0	0.0
3749	0.0	0.0
1779	0.0	0.0
5826	0.0	0.0
3747	0.0	0.0
1782	0.0	0.0
3745	0.0	0.0
4663	0.0	0.0
1787	0.0	0.0
5832	0.0	0.0
3742	0.0	0.0
5831	0.0	0.0
1791	0.0	0.0
5840	0.0	0.0
5849	0.0	0.0
5808	0.0	0.0
1825	0.0	0.0
5794	0.0	0.0
1852	0.0	0.0
4688	0.0	0.0
1854	0.0	0.0
4689	0.0	0.0
5789	0.0	0.0
5788	0.0	0.0
1859	0.0	0.0
1850	0.0	0.0
5785	0.0	0.0
1866	0.0	0.0
5782	0.0	0.0
5776	0.0	0.0
5775	0.0	0.0
5772	0.0	0.0
1877	0.0	0.0
5771	0.0	0.0
1879	0.0	0.0
5783	0.0	0.0
4679	0.0	0.0
1849	0.0	0.0
4684	0.0	0.0
1826	0.0	0.0
1827	0.0	0.0
1828	0.0	0.0
5805	0.0	0.0
1830	0.0	0.0
1831	0.0	0.0
4680	0.0	0.0
5802	0.0	0.0
5798	0.0	0.0
1834	0.0	0.0
1836	0.0	0.0
1837	0.0	0.0
1838	0.0	0.0
3727	0.0	0.0
5799	0.0	0.0
1842	0.0	0.0
1843	0.0	0.0
3725	0.0	0.0
4681	0.0	0.0
3751	0.0	0.0
1765	0.0	0.0
1764	0.0	0.0
1684	0.0	0.0
1686	0.0	0.0
5899	0.0	0.0
4642	0.0	0.0
1693	0.0	0.0
1695	0.0	0.0
1696	0.0	0.0
4646	0.0	0.0
1682	0.0	0.0
3768	0.0	0.0
1700	0.0	0.0
3765	0.0	0.0
1702	0.0	0.0
1703	0.0	0.0
1704	0.0	0.0
1705	0.0	0.0
1706	0.0	0.0
1707	0.0	0.0
3767	0.0	0.0
5893	0.0	0.0
1679	0.0	0.0
1676	0.0	0.0
1654	0.0	0.0
1655	0.0	0.0
3778	0.0	0.0
1657	0.0	0.0
1658	0.0	0.0
1660	0.0	0.0
5918	0.0	0.0
3327	0.0	0.0
4639	0.0	0.0
4637	0.0	0.0
5908	0.0	0.0
5907	0.0	0.0
5906	0.0	0.0
1671	0.0	0.0
5905	0.0	0.0
1673	0.0	0.0
1674	0.0	0.0
1675	0.0	0.0
4638	0.0	0.0
3764	0.0	0.0
1711	0.0	0.0
1712	0.0	0.0
5866	0.0	0.0
1743	0.0	0.0
5865	0.0	0.0
5864	0.0	0.0
5863	0.0	0.0
5860	0.0	0.0
3752	0.0	0.0
1749	0.0	0.0
5868	0.0	0.0
1751	0.0	0.0
1753	0.0	0.0
1754	0.0	0.0
5857	0.0	0.0
1756	0.0	0.0
5856	0.0	0.0
5854	0.0	0.0
5852	0.0	0.0
5850	0.0	0.0
1752	0.0	0.0
1739	0.0	0.0
4652	0.0	0.0
5871	0.0	0.0
